ID (n.)	Ps	f.	IIIF-Link image	Transcription	IIIF-Link caption	Translation	DW Ref.	Source	Conservation	Ink	Hand	Type of caption (subcategory)	Psalm-ID	Remarks
43	16	51r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0077_fa_0051r.jp2/pct:44.55313,39.92082,30.6803,30.91389/pct:100/0/default.jpg	Μήτηρ θεοῦ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0077_fa_0051r.jp2/pct:54.06847,44.73771,8.98177,4.88288/pct:100/0/default.jpg	Mother of God.	p. 13, pl. XXI	/	Good	bright red 	X	Label or short identifying caption	16d	
44	17	54r (1)	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0081_fa_0054r.jp2/pct:42.15775,9.06676,33.09157,25.44005/pct:100/0/default.jpg	ὁ Σαοὺλ διώκων τοῦ Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0081_fa_0054r.jp2/pct:44.74161,8.00399,23.02811,4.8821/pct:100/0/default.jpg	Saul pursuing David.	p. 14	Cf. 1 Kgdms 23:25 (or 1 Kgdms 14:2)	Good, in marg. above frame	bright red 	X	Descriptive caption (David)	17a	Written in the upper margin, not on DWs plates
45	17	54r (2)	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0081_fa_0054r.jp2/pct:43.51768,34.2079,31.233,12.0558/pct:100/0/default.jpg	ὁ Δαυὶδ προσευχόμενος εἰς τὸν σπήλαιον.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0081_fa_0054r.jp2/pct:56.39166,35.50316,8.15956,4.8821/pct:100/0/default.jpg	David praying in the cave.	p. 14, pl. XXI	Cf. 1 Kgdms 24:4–5.	Good	dark red 	E	Descriptive caption (David)	17b	
46	17	54r (3)	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0081_fa_0054r.jp2/pct:42.15775,46.59582,36.44606,28.56194/pct:100/0/default.jpg	ὁ Δαυὶδ παραλύων τὴν ποδιστῆρα τοῦ σαούλ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0081_fa_0054r.jp2/pct:44.87761,47.29326,25.83862,4.8821/pct:100/0/default.jpg	David cutting of a piece of Saul’s foot-robe.	p. 14, pl. XXI	Cf. 1 Kgdms 24:6.	Good	dark red 	E	Descriptive caption (David)	17c	
47	17	54v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0082_fa_0054v.jp2/pct:30.12422,37.62442,24.80035,11.8779/pct:100/0/default.jpg	ἴδε Σαοὺλ τὸ ὑπὸ τῆς διπλοΐδος σου ἐν τῇ χειρί μου.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0082_fa_0054v.jp2/pct:46.0071,39.21699,7.71961,8.12873/pct:100/0/default.jpg	Look, o Saul, this from your cloak (is) in my hand!	p. 14, pl. XXI	1 Kgdms 24:12: ἰδοὺ τὸ πτερύγιον τῆς διπλοΐδος σου ἐν τῇ χειρί μου.  Cf. Theodoret on v. 40 (PG80, 985).	Good	dark red 	E	Speaking caption (David)	17d	
48	18	62r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0091_fa_0062r.jp2/pct:42.8952,19.95398,28.24156,16.46943/pct:100/0/default.jpg	Οἱ ἀπόστολοι λέγουσιν· ἔκκλινεν οὐρανοὺς καὶ κατέβη.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0091_fa_0062r.jp2/pct:45.15986,21.07166,22.42451,5.52268/pct:100/0/default.jpg	The apostles are saying: Bend down the heavens and come down!	p. 14, pl. XXI	Hes. on v. 7 (PG27, 713,11 at f. 62v = Ps 144:5).	Partly flaked	bright red 	H	Descriptive caption (eschatological)	18	
49	20	65v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0095_fa_0065v.jp2/pct:23.53975,33.25696,32.98199,22.45499/pct:100/0/default.jpg	ὁ Δαυὶδ μετὰ δακρύων προσευχόμενος λέγει· ὡς τεθνήξεται δάκρυα [corr.: δάκρυσι] θερμοῖς ἰλεωσάμενος τὸν θεόν· καὶ τῆς νόσου τὴν ἀπαλλαγὴν ἔλαβε.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0095_fa_0065v.jp2/pct:26.92139,35.02455,18.40141,5.63011/pct:100/0/default.jpg	David is praying with tears and says: he will die imploring God with hot tears and gain release from the illness.	p. 14, pl. XXII	Cf. Theodoret on title, modified, below image (PG80, 1004).	Good	orange red 	E	Speaking caption (David)	20a	
50	20	65v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0095_fa_0065v.jp2/pct:23.53975,33.25696,32.98199,22.45499/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0095_fa_0065v.jp2/pct:44.75187,34.36989,7.42205,5.53191/pct:100/0/default.jpg	Jesus Christ.	p. 14, pl. XXII		Good	orange red 	(E)	Label or short identifying caption	20b	
51	21	68r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0099_fa_0068r.jp2/pct:42.70367,23.60882,34.60161,24.13566/pct:100/0/default.jpg	Καὶ ἔδειξεν ὁ θεὸς τοὺς φυλακίτας τὸ φῶς.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0099_fa_0068r.jp2/pct:49.32856,24.95884,15.6222,5.53177/pct:100/0/default.jpg	And God showed the prisoners the light.	p. 15, pl. XXII	Cf. Hes. (PG27, 721-722) and Theodoret (PG80, 1008) on title.	Very good	dark red 	E	Descriptive caption (liturgical)	21	
52	22	72v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0104_fa_0072v.jp2/pct:24.3424,56.61619,37.00401,27.55102/pct:100/0/default.jpg	ὁ Δαυὶδ ποιμὴν προβάτων ποιμὴν καὶ τῶν ἀνθρώπων·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0104_fa_0072v.jp2/pct:34.68569,59.38117,15.42577,5.52995/pct:100/0/default.jpg	David shepherd of sheep is also shepherd of men.	p. 15, pl. XXII	Hes. on title written next to image (PG27, 729-730C).	Good	bright red 	E	Descriptive caption (David; eschatological)	22	
53	24	76r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0109_fa_0076r.jp2/pct:42.54023,14.87247,35.75468,60.01987/pct:100/0/default.jpg	ὁ Δαυὶδ μεταλαμβάνων [DW μεταλαμπάνων] τὸν κόσμον καὶ ἀπερχόμενος εἰς τὸν ναὸν τοῦ θεοῦ προσεύχεται καὶ λαμβάνει τὰ ἅγια δῶρα.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0109_fa_0076r.jp2/pct:48.36886,17.98609,19.61722,6.95595/pct:100/0/default.jpg	David renouncing the world and approaching the temple of God prays and partakes of the holy gifts.	p. 15, pl. XXII	Unknown	Flaked	dark red 	U	Descriptive caption (David; liturgical)	24a	According to DW 51-53 are to be read in reverse order from bottom up
54	24	76r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0109_fa_0076r.jp2/pct:42.54023,14.87247,35.75468,60.01987/pct:100/0/default.jpg	ὁ Σαοὺλ δόλιος ὢν καταδιώκον αὐτὸν μετὰ καὶ στρατιωτῶν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0109_fa_0076r.jp2/pct:49.67377,35.57469,13.65811,5.53163/pct:100/0/default.jpg	Saul being deceitful is pursuing him with his soldiers too.	p. 15, pl. XXII	Cf. Theodoret on title (PG80, 1036).	Flaked	dark red 	U	Descriptive caption (David)	24b	According to DW 51-53 are to be read in reverse order from bottom up
55	24	76r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0109_fa_0076r.jp2/pct:42.54023,14.87247,35.75468,60.01987/pct:100/0/default.jpg	Καὶ ἐπέζευσεν ὁ Δαυὶδ ἀπερχόμενος [εἰς] τὸν ναὸν τοῦ θεοῦ ὅπως ἐκλυτῶσι τοὺς ἀγρίους θῆρας.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0109_fa_0076r.jp2/pct:46.80296,57.8006,26.2288,4.73667/pct:100/0/default.jpg	And David tied (him?) going to the temple of God where they unbridled the wild beasts.	p. 15, pl. XXII	Unknown	Flaked	dark red 	U	Descriptive caption (David)	24c	According to DW 51-53 are to be read in reverse order from bottom up
56	25	79v 	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0113_fa_0079v-80r.jp2/pct:11.26442,38.93805,18.84189,35.84071/pct:100/0/default.jpg	ὁ Σαοὺλ πικρὸς ἐξελαυνόμενος κατὰ τοῦ Δαυὶδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0113_fa_0079v-80r.jp2/pct:13.68469,53.66625,13.97874,5.43616/pct:100/0/default.jpg	The bitter Saul chasing after David.	p. 15, pl. XXIII	Cf. Theodoret on title (PG80, 1045).	Flaked 	dark red 	U	Descriptive caption (David)	25a	
57	25	80r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0113_fa_0079v-80r.jp2/pct:68.83058,9.51327,18.36689,29.39317/pct:100/0/default.jpg	Λέγων ὁ Δαυὶδ πρὸς τοὺς υἱοὺς τοῦ Κορέ· ὡς θὴρ ἄγριος ἐξελαύνεται κατ’ἐμοῦ· ἔχω θεὸν τὸν βοηθοῦντα με.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0113_fa_0079v-80r.jp2/pct:70.93418,12.13654,14.22755,5.43616/pct:100/0/default.jpg	David is saying to the sons of Korah: as a wild beast he has chased after me. I have God who will be my help.	p. 15, pl. XXIII	Hes. on v. 1 written below image (PG27, 740B2, ἐνδυναμοῦντά for βοηθοῦντα).	Partly flaked	bright red 	L	Speaking caption (David)	25b	
58	26	82r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0115_fa_0081v-82r.jp2/pct:71.60522,35.44224,14.76986,18.00441/pct:100/0/default.jpg	βαστοῦντες τὸν Δαυὶδ οἱ ἀ. φήτ. εἰς .σκουνταριν .	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0115_fa_0081v-82r.jp2/pct:73.41424,38.1492,4.19052,3.27353/pct:100/0/default.jpg	The … are carrying David on a shield.	p. 16, pl. XXIII	Cf. 2 Kgdms 5:3 written at the top marg. of f. 82r in gold.	Flaked, illegible already for DW	dark red 	G	Descriptive caption (David)	26a ( left)  	Cf. Paris, BnF, Paris. gr. 139, fol. 6v. The caption to the image only says: ὁ Δαυὶδ στεφόμενος. In gold at top margin of fol. 82r: ἐχρίουσι τὸν Δαυὶδ εἰς βασιλέα ἐπὶ πάντα τὸν Ἰσραὴλ
59	26	82r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0115_fa_0081v-82r.jp2/pct:71.60522,35.44224,14.76986,18.00441/pct:100/0/default.jpg	καὶ χρίη αὐτὸν Νάθαν ὁ προφήτης τὸ κέρας.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0115_fa_0081v-82r.jp2/pct:81.97847,37.77148,2.4273,7.20806/pct:100/0/default.jpg	And the prophet Nathan anoints him with the horn.	p. 16, pl. XXIII	As above	Partly flaked	dark red 	G 	Descriptive caption (David) 	26b ( right)	
60	27	85r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0119_fa_0085r.jp2/pct:39.14969,9.20225,43.71125,23.60146/pct:100/0/default.jpg	Λέγει ὁ Δαυίδ· ἐν τῷ ἐπαίρειν με τὴν διάνοιάν μου εἰς τὸν οὐρανόν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0119_fa_0085r.jp2/pct:50.97431,13.14134,16.3419,6.32241/pct:100/0/default.jpg	David says: in lifting up my mind to heaven.	p. 16, pl. XXIII	Hes. on v. 2 written below the image (PG27, 745:5).	Partly flaked	pale red 	G	Speaking caption (David)	27	
61	28	87r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0122_fa_0087r.jp2/pct:44.15755,31.60844,29.45295,14.30455/pct:100/0/default.jpg	ὁ Δαυὶδ προσευχόμενος.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0122_fa_0087r.jp2/pct:54.48578,33.45419,7.22101,6.85564/pct:100/0/default.jpg	David praying.	p. 16, pl. XXIV	Cf. Theodoret on title (PG80, 1061 at ff. 86v–87r).	Good	bright red 	E or G? 	Descriptive caption (David)	28	
62	29	88v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0124_fa_0088v.jp2/pct:18.38428,35.86957,47.9476,36.16601/pct:100/0/default.jpg	ὁ Δαυὶδ ἱστάμενος μετὰ τῶν ἱερέων εἰς τὴν Ἱηρουσαλὴμ λέγει οὕτως τοῦτο καὶ ὁ Ἀδὰμ ἤλπισεν ἐν παράδεισῳ πρὸ τῆς ἀπάτης πολιτευόμενος καὶ ὁ Ἐζεκίας· νενικηκὼς τὸν Ἀσσύριον· καὶ διδάσκει τοῦτο σαφὼς· τῶν παραλειπομένων ἡ βίβλος· ὑψωθῆναι λέγουσα τὴν καρδίαν Ἐζεκίου τοῦ βασιλέως.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0124_fa_0088v.jp2/pct:36.89956,39.26219,25.8952,14.95389/pct:100/0/default.jpg	David standing with the priests towards Jerusalem says this: even Adam in paradise hoped this while he was living before the transgression. And Hezechiah having defeated the Assyrians: the Book of Proverbs also teaches this clearly saying that the heart of Hezechiah the king was puffed up.	p. 16, pl. XXIV	Theodoret on v. 6 (PG80, 1973 at f. 89v). Cf. Prov. 16:8.	Partly flaked	bright red 	G	Speaking caption (David)	29	
63	30	90v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0127_fa_0090v.jp2/pct:25.79787,42.43421,37.54433,14.30921/pct:100/0/default.jpg	ὁ φαραον καταδιώκων τὸν οὐρίαν ἐν τῷ πολέμῳ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0127_fa_0090v.jp2/pct:28.5461,46.05263,19.01596,2.63158/pct:100/0/default.jpg	Pharaoh pursues Uriah to war.	p. 17, pl. XXIV	On Uriah cf. 2 Kgdms 11.	Partly flaked	dark red 	E	Descriptive caption (David)	30a	
64	30	90v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0127_fa_0090v.jp2/pct:25.79787,42.43421,37.54433,14.30921/pct:100/0/default.jpg	ὁ Οὐρίας.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0127_fa_0090v.jp2/pct:48.1383,46.38158,5.00887,1.48026/pct:100/0/default.jpg	Uriah.	p. 17, pl. XXIV		Partly flaked	pale red 		Label or short identifying caption	30b	
65	31	94v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0132_fa_0094v.jp2/pct:24.3279,53.13725,35.34597,23.92157/pct:100/0/default.jpg	οἱ κατάσκοποι τοῦ Δαυὶδ ἀποστραφέντες ἀπὸ τοῦ κακοῦ εἰς τὸν ἀγαθὸν· καὶ εἰς ἐξαγορίαν· ἀπερχόμενοι. 	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0132_fa_0094v.jp2/pct:27.72146,55.65359,21.94799,5.45752/pct:100/0/default.jpg	The spies of David have turned from evil to good and come to confess.    	p. 17, pl. XXIV	Hes. on title written next to image (PG27, 762-763). Cf. also Hes. on Ps 33 (PG27, 769-70).	Good	pale red 	E	Descriptive caption (liturgical)	31a	
66	31	94v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0132_fa_0094v.jp2/pct:24.3279,53.13725,35.34597,23.92157/pct:100/0/default.jpg	ὁ ἅγιος Σίλβεστρος.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0132_fa_0094v.jp2/pct:48.6558,55.65359,7.36007,5.55556/pct:100/0/default.jpg	The holy Silvester.	p. 17, pl. XXIV		Partly flaked	pale red 	(E)	Label or short identifying caption	31b	
67	32	97r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0135_fa_0096v-97r.jp2/pct:70.61622,16.1884,15.31491,17.81036/pct:100/0/default.jpg	Λέγουσι οἱ ἱερεῖς· ἥπλωται τὸ ἔλεος κυρίου ἐπὶ πᾶσαν ψυχὴν ἀνθρώπου.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0135_fa_0096v-97r.jp2/pct:71.95288,16.74984,8.0879,5.45852/pct:100/0/default.jpg	The priests say: Let the mercy of the Lord fill every soul of man.	p. 17, pl. XXV	Hes. on v. 5 (PG27, 765,10 at f. 87v).	Partly flaked	pale red 	E	Speaking caption (other speakers)	32	
68	33	100r 	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0139_fa_0100r.jp2/pct:46.13003,47.56615,29.41176,24.14244/pct:100/0/default.jpg	ὁ Σαοὺλ ὁ βασιλεὺς δίδων ὄρκον τοῖς στρατιώταις εἰς τὸ μασγίδιον ὅπως παγιδεύσωσιν αὐτόν.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0139_fa_0100r.jp2/pct:49.97789,50.08167,15.65679,5.78242/pct:100/0/default.jpg	King Saul is giving an oath to the soldiers before the mosque that they should ensnare him.	p. 17, pl. XXV	Cf. 1 Kgdms 21.	Good	bright red 	E	Descriptive caption (David)	33a	
69	33	100v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0140_fa_0100v.jp2/pct:26.27417,8.20896,27.6362,29.8183/pct:100/0/default.jpg	οἱ κατάσκοποι παρέδωκαν τὸν Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0140_fa_0100v.jp2/pct:38.84007,10.83712,12.39016,5.45101/pct:100/0/default.jpg	The spies betrayed David.	p. 17, pl. XXV	As above	Good	dark red/bright red 	E	Descriptive caption (David)	33b	
70	33	100v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0140_fa_0100v.jp2/pct:26.27417,8.20896,27.6362,29.8183/pct:100/0/default.jpg	Καὶ ἐποίησεν ὁ Δαυὶδ τὸν ἑαυτὸν τὸν δαιμονιοῦντα [DW δαιμονίζωντα] καὶ ἀφρίζων [DW ἀφρίζοντα]· ὅπως ἀποφεύγοι αὐτούς.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0140_fa_0100v.jp2/pct:32.33743,26.47631,18.76098,5.45101/pct:100/0/default.jpg	And David made himself possessed and out of his mind that he might escape them.	p. 17, pl. XXV	As above	Good	dark red 	E	Descriptive caption (David)	33c	
71	34	104r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0145_fa_0104r.jp2/pct:44.25795,33.80654,36.39576,42.48927/pct:100/0/default.jpg	πολεμῶν ὁ Γολιὰθ μετὰ τοῦ Δαυίδ·	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0145_fa_0104r.jp2/pct:50.97173,34.66491,21.02473,5.44734/pct:100/0/default.jpg	Goliath fighting with David.	p. 18, pl. XXV	Hes. on title written beside image (PG27, 773-744). Cf. 1 Kgdms 17.	Very good	dark red 	E	Descriptive caption (David)	34a	
72	34	104r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0145_fa_0104r.jp2/pct:44.25795,33.80654,36.39576,42.48927/pct:100/0/default.jpg	ἀποκτένων ὁ Δαυὶδ τὸν Γολιάθ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0145_fa_0104r.jp2/pct:49.51413,57.51073,19.87633,5.44734/pct:100/0/default.jpg	David killing Goliath.	p. 18, pl. XXV	As above	Good	dark red 	E	Descriptive caption (David)	34b	
73	34	104v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0146_fa_0104v.jp2/pct:24.94432,11.15132,35.05568,23.58553/pct:100/0/default.jpg	προσευχόμενος ὁ Δαυὶδ ὅτι δίκαιος εἶ καὶ δικαία ἡ κρίσις σου.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0146_fa_0104v.jp2/pct:30.1559,15.32895,15.50111,5.88816/pct:100/0/default.jpg	David prays: you are just and just is your judgement.	p. 18, pl. XXVI	Hes. on v. 1 written below image (PG27, 773,1).	Partly flaked	dark red 	E	Speaking caption (David)	34c	
74	35	109v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0152_fa_0109v.jp2/pct:24.9338,26.37652,34.64254,26.97/pct:100/0/default.jpg	ὁ Σαοὺλ ἐν ἀρρωστία κατακληθεὶς ἐξαγορίαν ποιούμενος ὑπὸ τοῦ Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0152_fa_0109v.jp2/pct:35.03972,34.12463,18.27008,5.44016/pct:100/0/default.jpg	Saul was called upon in his sickness to make confession by David.	p. 18, pl. XXVI	Cf. 1 Kgdms 24. (cf. f. 54r)	Very good	dark red 	E	Descriptive caption (David)	35	
75	36	121v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0155_fa_0121v.jp2/pct:22.3314,31.62365,39.88388,32.44038/pct:100/0/default.jpg	ὁ Σαοὺλ καταδιώκων τὸν Γολιάθ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0155_fa_0121v.jp2/pct:35.01563,35.54394,19.5623,5.45573/pct:100/0/default.jpg	Saul is pursuing Goliath.	p. 18, pl. XXVI	Cf. 1 Kgdms 17.	Good	dark red 	E	Descriptive caption (David)	36	
76	37	128r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0163_fa_0128r.jp2/pct:44.39067,31.82563,30.62033,23.46772/pct:100/0/default.jpg	καὶ ἐπάσθε [DW ἐπιάσθε] ὁ Δαυὶδ παρὰ τῶν κατασκόπων.  προσευχόμενος ὁ Δαυὶδ λέγει. νυττόμενος φησὶ τῇ τιμωρίᾳ τῆς ἁμαρτίας άναμημνίσκομαι.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0163_fa_0128r.jp2/pct:47.16234,34.57883,17.86186,6.65356/pct:100/0/default.jpg	And David was captured by the spies. David says praying: I am pierced by the punishment and I make memory of my sin.	p. 18, pl. XXVI	Theodoret on v. 3 (PG80, 1140 (v. 4) at f. 128v).	Partly flaked	bright red/dark red 	E	Speaking caption (David)	37a	
77	37	128r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0163_fa_0128r.jp2/pct:44.39067,31.82563,30.62033,23.46772/pct:100/0/default.jpg	Ἰησοῦς Χριστός	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0163_fa_0128r.jp2/pct:62.42851,36.41429,7.30312,5.44084/pct:100/0/default.jpg	Jesus Christ.	p. 18, pl. XXVI		Good	bright red 	(E)	Label or short identifying caption	37b	
78	38	131v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0167_fa_0131v.jp2/pct:24.86796,38.2896,31.60211,19.33916/pct:100/0/default.jpg	φεῦγει ὁ Δαυὶδ τοῦ Σαοὺλ τοῦ πατραλύα [corr. πατραλοία] τὴν τυραννίδα.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0167_fa_0131v.jp2/pct:33.4507,38.38678,18.39789,5.44218/pct:100/0/default.jpg	David flees from the tyranny of Saul the parricide.	p. 19, pl. XXVII	Theodoret on v. 2–3 (PG 80,1145,6–7: Φεύγοντα τὸν μέγαν Δαβὶδ τοῦ πατραλοίου παιδὸς τὴν τυραννίδα, ὁ Σεμεεὶ κατὰ τὴν ὁδὸν ὑπαντήσας, καὶ βώλοις ἔβαλλε…) (referring on 2 Kgdms 16,5–14).	Very good	bright red 	E	Descriptive caption (David)	38a	
79	38	131v	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0167_fa_0131v.jp2/pct:24.86796,38.2896,31.60211,19.33916/pct:100/0/default.jpg	ἡ φυγὴ τοῦ Δαυίδ.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0167_fa_0131v.jp2/pct:42.51761,41.65857,7.39437,5.44218/pct:100/0/default.jpg	The flight of David.	p. 19, pl. XXVII		Very good	bright red 	E	Label or short identifying caption	38b	
80	39	134r	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0171_fa_0134r.jp2/pct:44.05286,19.35167,32.15859,18.56582/pct:100/0/default.jpg	ὁ προφήτης Ἡσαίας ὁ προφήτης Δανιὴλ λέγουσι πρὸς τὸν Δαυίδ· ὁ γὰρ περιμένων αὐτοῦ τὸ ἔλεος οὐ μὴ στερηθῇ τοῦτο.	https://digi.vatlib.it/iiifimage/MSS_Vat.gr.752.pt.1/Vat.gr.752.pt.1_0171_fa_0134r.jp2/pct:47.44493,20.98887,20.70485,5.43549/pct:100/0/default.jpg	The prophet Isaiah and the prophet Daniel say to David: for he who endures will not be deprived of his mercy here.	p. 19, pl. XXVII	Hes. on v. 2 written below image (PG27, 804,2).	Good	bright red 	E	Speaking caption (other speakers)	39	
